Table 1 - Investments other than derivatives,,,,,,,,,,,,
Portfolio Holdings Information for:,Future Fund,,,,,,,,,,,
Reporting Date: ,31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
Asset Class,Internally or Externally Managed,Name of Institution,Name of Issuer / Counterparty,Name / Investment Item,Name of Investment Manager,Currency,Security Identifier,% Ownership, Units Held ,Value (AUD),Weighting (%),
Listed Equity,,,,Alstom SA,,,B0DJ8Q5,,"335,480","14,871,552",0.01%,
Listed Equity,,,,AltaGas Ltd.,,,B43WJC5,,"261,878","11,989,694",0.00%,
Listed Equity,,,,"Alteogen, Inc.",,,BSTJWN0,,"27,114","12,687,229",0.00%,
Listed Equity,,,,Amadeus IT Group SA,,,B3MSM28,,"247,436","27,384,544",0.01%,
Listed Equity,,,,Amaero Ltd.,,,BKRQJZ8,,"25,226,807","6,937,372",0.00%,
Listed Equity,,,,"Amazon.com, Inc.",,,2000019,,"2,649,179","916,973,078",0.34%,
Listed Equity,,,,Amcor Plc,,,BJ1F307,,"1,061,031","13,269,849",0.00%,
Listed Equity,,,,America Movil SAB de CV,,,BMVRB77,,"35,917,769","55,810,567",0.02%,
Listed Equity,,,,America Movil SAB de CV,,,BNHN4P5,,"630,546","19,544,704",0.01%,
Listed Equity,,,,"American Electric Power Co., Inc.",,,2026242,,"209,405","36,209,778",0.01%,
Listed Equity,,,,American Express Co.,,,2026082,,"152,082","84,370,902",0.03%,
Listed Equity,,,,"American Financial Group, Inc.",,,2134532,,"39,405","8,076,592",0.00%,
Listed Equity,,,,American Homes 4 Rent,,,BCF5RR9,,"124,428","5,989,561",0.00%,
Listed Equity,,,,"American International Group, Inc.",,,2027342,,"334,739","42,943,573",0.02%,
Listed Equity,,,,American Tower Corp.,,,B7FBFL2,,"41,661","11,074,823",0.00%,
Listed Equity,,,,"American Water Works Co., Inc.",,,B2R3PV1,,"52,987","10,369,354",0.00%,
Listed Equity,,,,"Ameriprise Financial, Inc.",,,B0J7D57,,"57,217","42,072,106",0.02%,
Listed Equity,,,,"AMETEK, Inc.",,,2089212,,"124,670","38,383,441",0.01%,
Listed Equity,,,,"Amgen, Inc.",,,2023607,,"147,460","72,377,795",0.03%,
Listed Equity,,,,"Amlogic (Shanghai) Co., Ltd.",,,BK71BW4,,"296,457","5,555,806",0.00%,
Listed Equity,,,,AMMB Holdings Bhd.,,,6047023,,"5,857,316","14,069,278",0.01%,
Listed Equity,,,,Amotiv Ltd.,,,BQH8HH4,,"601,668","5,396,962",0.00%,
Listed Equity,,,,AMP Ltd.,,,6709958,,"26,916,347","48,987,752",0.02%,
Listed Equity,,,,Amphenol Corp.,,,2145084,,"629,007","127,706,767",0.05%,
Listed Equity,,,,Amplitude Energy Ltd.,,,BLGTZK2,,"6,204,119","18,116,027",0.01%,
Listed Equity,,,,Ampol Ltd.,,,BM91201,,"3,025,161","96,593,391",0.04%,
Listed Equity,,,,Amrize Ltd.,,,BVBMCR2,,"271,140","22,360,976",0.01%,
Listed Equity,,,,Amundi SA,,,BYZR014,,"33,963","4,222,962",0.00%,
Listed Equity,,,,ANA HOLDINGS INC.,,,6014908,,"126,800","3,613,832",0.00%,
Listed Equity,,,,"Analog Devices, Inc.",,,2032067,,"290,810","118,268,984",0.04%,
Listed Equity,,,,"Angel Yeast Co., Ltd.",,,BP3RH12,,"187,598","1,762,895",0.00%,
Listed Equity,,,,Anglo American Plc,,,BTK05J6,,"461,402","28,710,776",0.01%,
Listed Equity,,,,Anglogold Ashanti Plc,,,BRF6FX9,,"339,049","43,974,757",0.02%,
Listed Equity,,,,Anheuser-Busch InBev NV,,,BYYHL23,,"722,944","69,901,010",0.03%,
Listed Equity,,,,"Anker Innovations Technology Co., Ltd.",,,BNR4MR6,,"173,160","4,255,545",0.00%,
Listed Equity,,,,"Annaly Capital Management, Inc.",,,BPMQ7X2,,"204,525","7,072,575",0.00%,
Listed Equity,,,,Ansell Ltd.,,,6286611,,"1,619,677","56,704,892",0.02%,
Listed Equity,,,,Antofagasta Plc,,,0045614,,"260,997","17,261,846",0.01%,
Listed Equity,,,,ANZ Group Holdings Ltd.,,,6065586,,"37,293,628","1,355,250,442",0.50%,
Listed Equity,,,,Aon Plc,,,BLP1HW5,,"74,312","39,324,014",0.01%,
Listed Equity,,,,APA Group,,,6247306,,"13,239,673","123,961,162",0.05%,
Listed Equity,,,,APL Apollo Tubes Ltd.,,,BNDTGN9,,"204,908","6,543,536",0.00%,
Listed Equity,,,,"Apollo Global Management, Inc.",,,BN44JF6,,"38,682","8,397,100",0.00%,
Listed Equity,,,,Apollo Hospitals Enterprise Ltd.,,,6273583,,"63,888","7,506,852",0.00%,
Listed Equity,,,,Apollo Tyres Ltd.,,,6168902,,"228,454","1,905,814",0.00%,
Listed Equity,,,,"Apple, Inc.",,,2046251,,"5,524,690","2,252,293,954",0.83%,
Listed Equity,,,,"Applied Materials, Inc.",,,2046552,,"717,887","276,658,589",0.10%,
Listed Equity,,,,Applovin Corp.,,,BMV3LG4,,"62,849","63,505,906",0.02%,
Listed Equity,,,,Aptiv Plc,,,BTDN8H1,,"301,020","34,347,472",0.01%,
Listed Equity,,,,Arab National Bank,,,B12LZK2,,"1,748,026","15,109,549",0.01%,
Listed Equity,,,,Arabian Internet & Communications Services Co.,,,BMVH0Q9,,"7,298","656,791",0.00%,
Listed Equity,,,,ARB Corp. Ltd.,,,BWV03W5,,"507,806","15,970,499",0.01%,
Listed Equity,,,,ARC Resources Ltd.,,,B6463M8,,"649,665","18,450,484",0.01%,
